PSNR,SSIM,MS-SSIM,VIF,NMSE,HFEN,Image,Exponent
30.948737779741343,0.8305642229179863,0.9598590731620789,0.8060305196093542,0.007935496082646373,0.2893593925724824,file1000243.h5,2.0
30.956231150137725,0.8301233755939074,0.9596962332725525,0.8072024012105647,0.00792181588550586,0.29027124086775036,file1000243.h5,3.0
33.78156314739021,0.8546310194075937,0.9693587422370911,0.8062952835392284,0.005868824096077715,0.5065939404757485,file1000264.h5,0.0
33.77520493052668,0.8545924327835708,0.9693506360054016,0.8059523945035795,0.005877422544048219,0.5066742888141245,file1000264.h5,0.25
33.76871486570273,0.8545529689601478,0.9693421721458435,0.805608639967937,0.0058862122871364666,0.506757956117769,file1000264.h5,0.5
33.76209302193781,0.8545126273873638,0.9693331718444824,0.8052640354413364,0.005895194051842721,0.5068449630776943,file1000264.h5,0.75
33.75533954032457,0.8544714084080085,0.9693239331245422,0.8049185944403878,0.005904368484848208,0.5069353302997783,file1000264.h5,1.0
33.748454595907134,0.8544293152534013,0.9693142771720886,0.8045723306759865,0.005913736204247523,0.5070290789611704,file1000264.h5,1.25
33.74143839768916,0.8543863664603379,0.9693045020103455,0.8042252570446601,0.005923297799234175,0.5071262345732263,file1000264.h5,1.5
33.7270122284274,0.8542977904392061,0.9692835211753845,0.803528813071749,0.005943006218290434,0.5073308063698401,file1000264.h5,2.0
33.696591778606034,0.854109780084823,0.9692378640174866,0.8021273632125325,0.005984780540800352,0.5077814002994139,file1000264.h5,3.0
37.476368774850194,0.9175291592960163,0.9818930625915527,0.8843683669917958,0.0029257910349908237,0.27621318139705353,file1000277.h5,0.0
37.47679249844957,0.9175307900932277,0.9818932414054871,0.8843953009444057,0.0029255055912920415,0.27619262289414404,file1000277.h5,0.25
37.477202418258756,0.9175322847096762,0.9818933010101318,0.8844221485804307,0.002925229473093515,0.27617277482653196,file1000277.h5,0.5
37.477598631969194,0.9175336443732807,0.9818935394287109,0.8844489095448046,0.0029249626119649806,0.27615363189641506,file1000277.h5,0.75
37.477981239619666,0.9175348703564052,0.9818936586380005,0.8844755834091229,0.00292470493800766,0.27613518872987775,file1000277.h5,1.0
37.47835034321148,0.9175359639574056,0.9818937182426453,0.8845021697017413,0.0029244563801120037,0.2761174398812083,file1000277.h5,1.25
37.47870604649419,0.9175369264927369,0.9818935394287109,0.8845286679214077,0.0029242168661003497,0.27610037983591107,file1000277.h5,1.5
